Species,Date,Timepoint,Treatment code,Treatment,Replicate vial,Plate #,Well ,nmol/min,# larvae,nmol/larva/min
Ofav,08/23/17,Exposure,NS,Control,6,1,A3,0.00488814,1,0.00488814
Ofav,08/23/17,Exposure,NS,Control,9,1,D6,0.00589677,1,0.00589677
Ofav,08/23/17,Exposure,NS,Control,1,2,A1,0.004864690287632,2,0.00243235
Ofav,08/23/17,Exposure,NS,Control,7,1,B4,0.00586083,3,0.00195361
Ofav,08/23/17,Exposure,NS,Control,5,2,D4,0.00587373,3,0.00195791
Ofav,08/23/17,Exposure,NS,Control,10,2,C3,0.00598404,3,0.00199468
Ofav,08/23/17,Exposure,NS,Control,3,2,B4,0.00948656,4,0.00237164
Ofav,08/23/17,Exposure,NS,Control,8,1,C5,NA,1,NA
Ofav,08/23/17,Exposure,PH,High Port,10,2,C6,0.00476122,2,0.00238061
Ofav,08/23/17,Exposure,PH,High Port,3,2,C1,0.00552772,2,0.00276386
Ofav,08/23/17,Exposure,PH,High Port,6,1,A4,0.00632846,3,0.00210949
Ofav,08/23/17,Exposure,PH,High Port,1,2,A6,0.00490622,4,0.00122656
Ofav,08/23/17,Exposure,PH,High Port,8,1,C6,0.00491658,4,0.00122914
Ofav,08/23/17,Exposure,PH,High Port,5,2,D1,0.00490844,6,0.00081807
Ofav,08/23/17,Exposure,PH,High Port,7,1,B5,0.00216146,NA,NA
Ofav,08/23/17,Exposure,PH,High Port,9,1,D2,0.00266001,NA,NA
Ofav,08/23/17,Exposure,RH,High Reef,6,1,A6,0.00357708,1,0.00357708
Ofav,08/23/17,Exposure,RH,High Reef,7,1,B1,0.00771694,1,0.00771694
Ofav,08/23/17,Exposure,RH,High Reef,9,1,D4,0.00690475,2,0.00345238
Ofav,08/23/17,Exposure,RH,High Reef,3,2,B6,0.00482223,3,0.00160741
Ofav,08/23/17,Exposure,RH,High Reef,1,2,A4,0.00596911,3,0.0019897
Ofav,08/23/17,Exposure,RH,High Reef,10,2,C5,0.00520985,5,0.00104197
Ofav,08/23/17,Exposure,RH,High Reef,5,2,D3,0.00705621,6,0.00117604
Ofav,08/23/17,Exposure,RH,High Reef,8,1,C2,0.00713141,NA,NA
Ofav,08/23/17,Exposure,PL,Low Port,7,1,B6,0.00301926,1,0.00301926
Ofav,08/23/17,Exposure,PL,Low Port,9,1,D3,0.00361367,1,0.00361367
Ofav,08/23/17,Exposure,PL,Low Port,6,1,A5,0.00422596,1,0.00422596
Ofav,08/23/17,Exposure,PL,Low Port,8,1,C1,0.00779242,2,0.00389621
Ofav,08/23/17,Exposure,PL,Low Port,5,2,D2,0.00522913,5,0.00104583
Ofav,08/23/17,Exposure,PL,Low Port,1,2,A5,0.00705443,5,0.00141089
Ofav,08/23/17,Exposure,PL,Low Port,3,2,B1,0.00768844,6,0.00128141
Ofav,08/23/17,Exposure,RL,Low Reef,6,1,A1,0.00292337,1,0.00292337
Ofav,08/23/17,Exposure,RL,Low Reef,1,2,A3,0.00360065,2,0.00180032
Ofav,08/23/17,Exposure,RL,Low Reef,3,2,B5,0.0066294,3,0.0022098
Ofav,08/23/17,Exposure,RL,Low Reef,5,2,D6,0.00641478,4,0.00160369
Ofav,08/23/17,Exposure,RL,Low Reef,7,1,B2,0.00277612,NA,NA
Ofav,08/23/17,Exposure,RL,Low Reef,8,1,C3,0.00675668,NA,NA
Ofav,08/23/17,Exposure,RL,Low Reef,9,1,D5,0.00765896,NA,NA
Ofav,08/29/17,Recovery,NS,Control,6,4,A3,0.00189215,1,0.00189215
Ofav,08/29/17,Recovery,NS,Control,4,3,A1,0.00269719,1,0.00269719
Ofav,08/29/17,Recovery,NS,Control,8,4,C5,0.00400715,2,0.00200358
Ofav,08/29/17,Recovery,NS,Control,1,3,D5,0.00323281,4,0.0008082
Ofav,08/29/17,Recovery,NS,Control,9,4,D6,0.00451695,3,0.00150565
Ofav,08/29/17,Recovery,NS,Control,3,3,C3,0.00498891,3,0.00166297
Ofav,08/29/17,Recovery,NS,Control,7,4,B4,0.00470919,5,0.00094184
Ofav,08/29/17,Recovery,PH,High Port,1,3,D1,0.00238864,1,0.00238864
Ofav,08/29/17,Recovery,PH,High Port,7,4,B5,0.00263146,2,0.00131573
Ofav,08/29/17,Recovery,PH,High Port,9,4,D2,0.00275144,5,0.00055029
Ofav,08/29/17,Recovery,PH,High Port,8,4,C6,0.00410339,4,0.00102585
Ofav,08/29/17,Recovery,PH,High Port,6,4,A4,0.00480541,4,0.00120135
Ofav,08/29/17,Recovery,PH,High Port,5,3,A6,0.00233254,1,0.00233254
Ofav,08/29/17,Recovery,PH,High Port,10,3,B1,NA,1,NA
Ofav,08/29/17,Recovery,RH,High Reef,5,3,A5,0.00242923,1,0.00242923
Ofav,08/29/17,Recovery,RH,High Reef,1,3,D3,0.00492493,1,0.00492493
Ofav,08/29/17,Recovery,RH,High Reef,6,4,A6,0.00306329,2,0.00153165
Ofav,08/29/17,Recovery,RH,High Reef,3,3,C1,0.00319712,2,0.00159856
Ofav,08/29/17,Recovery,RH,High Reef,10,3,B2,0.00235311,3,0.00078437
Ofav,08/29/17,Recovery,RH,High Reef,7,4,B1,0.00339441,3,0.00113147
Ofav,08/29/17,Recovery,RH,High Reef,9,4,D4,0.00526201,4,0.0013155
Ofav,08/29/17,Recovery,PL,Low Port,7,4,B6,0.00282309,2,0.00141154
Ofav,08/29/17,Recovery,PL,Low Port,1,3,D2,0.00240295,4,0.00060074
Ofav,08/29/17,Recovery,PL,Low Port,3,3,C6,0.00404765,3,0.00134922
Ofav,08/29/17,Recovery,PL,Low Port,6,4,A5,0.00408438,4,0.0010211
Ofav,08/29/17,Recovery,PL,Low Port,9,4,D3,0.00463119,4,0.0011578
Ofav,08/29/17,Recovery,PL,Low Port,8,4,C1,0.00524731,7,0.00074962
Ofav,08/29/17,Recovery,PL,Low Port,5,3,A4,0.00478958,NA,NA
Ofav,08/29/17,Recovery,PL,Low Port,4,3,B5,0.00405565,NA,NA
Ofav,08/29/17,Recovery,RL,Low Reef,5,3,A3,0.00130538,1,0.00130538
Ofav,08/29/17,Recovery,RL,Low Reef,1,3,D4,0.00604255,1,0.00604255
Ofav,08/29/17,Recovery,RL,Low Reef,9,4,D5,0.00291135,3,0.00097045
Ofav,08/29/17,Recovery,RL,Low Reef,6,4,A1,0.00301038,3,0.00100346
Ofav,08/29/17,Recovery,RL,Low Reef,8,4,C3,0.00399699,3,0.00133233
Ofav,08/29/17,Recovery,RL,Low Reef,7,4,B2,0.0051566,3,0.00171887
Ofav,08/29/17,Recovery,RL,Low Reef,4,3,B6,0.0046161,NA,NA
Ofav,08/29/17,Recovery,RL,Low Reef,3,3,C2,0.00194071,NA,NA
